Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-ultimate-botanical-glow-box,The Ultimate Botanical Glow Box,"<h2>Head-to-toe glow, gift-wrapped by nature</h2><p>A curated box of CHIC's most-loved botanical rituals, brought together for head-to-toe glow. The Ultimate Botanical Glow Box makes self-care effortless — and makes an unforgettable gift.</p><h3>Why you’ll love it</h3><ul><li>Complete AM-to-PM glow ritual in one box</li><li>Gentle, plant-powered formulas for all skin types</li><li>Beautifully packaged — ready to gift</li></ul><h3>Key botanicals</h3><p>Aloe Vera, Probiotics, Kokum Butter, Jojoba, Herbal Extracts</p><h3>How to use</h3><p>Cleanse with the facewash, treat with the botanical actives, and seal in moisture with the body yogurt. Use daily for visible glow.</p><h3>Care</h3><p>Store in a cool, dry place away from direct sunlight. Patch-test before first use. For external use only. 100% botanical, cruelty-free and made in India.</p>",CHIC The Botanical Beauty,Health & Beauty > Personal Care > Cosmetics > Cosmetic & Toiletry Bags,Gift Set,"Gift Sets, Combo, Skin Care, Best Seller",true,Title,Default Title,,,,,,,,CHIC-001,0,shopify,100,deny,manual,999.00,1299.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/1026/6145/6240/files/Screenshot2026-07-10181231.png?v=1783687466,1,The Ultimate Botanical Glow Box - CHIC The Botanical Beauty,false,The Ultimate Botanical Glow Box | CHIC The Botanical Beauty,"A curated box of CHIC's most-loved botanical rituals, brought together for head-to-toe glow. The Ultimate Botanical Glow Box makes self-care effortless — and makes an unforgettable gift.",,g,,,active
the-ultimate-botanical-glow-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/6145/6240/files/Screenshot2026-07-10181238.png?v=1783687466,2,The Ultimate Botanical Glow Box - CHIC The Botanical Beauty,,,,,,,,
the-ultimate-botanical-glow-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/6145/6240/files/Screenshot2026-07-10181250.png?v=1783687466,3,The Ultimate Botanical Glow Box - CHIC The Botanical Beauty,,,,,,,,
the-ultimate-botanical-glow-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/6145/6240/files/Screenshot2026-07-10181256.png?v=1783687466,4,The Ultimate Botanical Glow Box - CHIC The Botanical Beauty,,,,,,,,
the-ultimate-botanical-glow-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/6145/6240/files/Screenshot2026-07-10181303.png?v=1783687466,5,The Ultimate Botanical Glow Box - CHIC The Botanical Beauty,,,,,,,,
the-ultimate-botanical-glow-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/6145/6240/files/Screenshot2026-07-10181308.png?v=1783687466,6,The Ultimate Botanical Glow Box - CHIC The Botanical Beauty,,,,,,,,
the-ultimate-botanical-glow-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/6145/6240/files/Screenshot2026-07-10181315.png?v=1783687466,7,The Ultimate Botanical Glow Box - CHIC The Botanical Beauty,,,,,,,,
the-ultimate-botanical-glow-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/6145/6240/files/Screenshot2026-07-10181321.png?v=1783687466,8,The Ultimate Botanical Glow Box - CHIC The Botanical Beauty,,,,,,,,
the-ultimate-botanical-glow-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/6145/6240/files/Screenshot2026-07-10181328.png?v=1783687466,9,The Ultimate Botanical Glow Box - CHIC The Botanical Beauty,,,,,,,,
the-chic-mom-royal-pamper-kit,"The ""Chic Mom"" Royal Pamper Kit","<h2>A royal spa ritual for the queen of the house</h2><p>The “Chic Mom” Royal Pamper Kit is our most indulgent gift set — a royal spa experience at home, curated for the woman who deserves it all.</p><h3>Why you’ll love it</h3><ul><li>Luxurious head-to-toe pampering ritual</li><li>Premium botanical formulations, gently effective</li><li>An elegant, ready-to-gift keepsake box</li></ul><h3>Key botanicals</h3><p>Botanical oils, Ayurvedic herbs, natural butters</p><h3>How to use</h3><p>Set aside an evening. Begin with cleansing, follow with masks and massage, and finish with deep moisturisation.</p><h3>Care</h3><p>Store in a cool, dry place away from direct sunlight. Patch-test before first use. For external use only. 100% botanical, cruelty-free and made in India.</p>",CHIC The Botanical Beauty,Health & Beauty > Personal Care > Cosmetics > Cosmetic & Toiletry Bags,Gift Set,"Gift Sets, Mother's Choice, Luxury, Combo",true,Title,Default Title,,,,,,,,CHIC-002,0,shopify,100,deny,manual,2999.00,3899.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/1026/6145/6240/files/Screenshot2026-07-10181113.png?v=1783687312,1,"The ""Chic Mom"" Royal Pamper Kit - CHIC The Botanical Beauty",false,"The ""Chic Mom"" Royal Pamper Kit | CHIC The Botanical Beauty","The “Chic Mom” Royal Pamper Kit is our most indulgent gift set — a royal spa experience at home, curated for the woman who deserves it all.",,g,,,active
